project_index,folder_count,file_count,file_count_tslike,file_count_.ts,file_count_.tsx,file_count_.js,file_count_.jsx,commit_count,unique_commit_authors,commit_count_per_author,first_commit_date,last_commit_date,lines_of_code,lines_of_code_tslike,lines_of_code_.ts,lines_of_code_.tsx,lines_of_code_.js,lines_of_code_.jsx,lines_of_comments,lines_of_comments_tslike,lines_of_comments_.ts,lines_of_comments_.tsx,lines_of_comments_.js,lines_of_comments_.jsx,/frontend_.ts_file_count,/frontend_.ts_total_lines,/frontend_.ts_sloc,/frontend_.ts_total_lines_of_comments,/frontend_.ts_blank_lines,/frontend_.js_file_count,/frontend_.js_total_lines,/frontend_.js_sloc,/frontend_.js_total_lines_of_comments,/frontend_.js_blank_lines,/src_.ts_file_count,/src_.ts_total_lines,/src_.ts_sloc,/src_.ts_total_lines_of_comments,/src_.ts_blank_lines,/src_.js_file_count,/src_.js_total_lines,/src_.js_sloc,/src_.js_total_lines_of_comments,/src_.js_blank_lines,/test/controller_.ts_file_count,/test/controller_.ts_total_lines,/test/controller_.ts_sloc,/test/controller_.ts_total_lines_of_comments,/test/controller_.ts_blank_lines,/test/controller_.js_file_count,/test/controller_.js_total_lines,/test/controller_.js_sloc,/test/controller_.js_total_lines_of_comments,/test/controller_.js_blank_lines,/test/rest_.ts_file_count,/test/rest_.ts_total_lines,/test/rest_.ts_sloc,/test/rest_.ts_total_lines_of_comments,/test/rest_.ts_blank_lines,/test/rest_.js_file_count,/test/rest_.js_total_lines,/test/rest_.js_sloc,/test/rest_.js_total_lines_of_comments,/test/rest_.js_blank_lines,3_folders_file_count,3_folders_total_lines,3_folders_sloc,3_folders_total_lines_of_comments,3_folders_blank_lines,/frontend_file_count,/frontend_total_lines,/frontend_sloc,/frontend_total_lines_of_comments,/frontend_blank_lines,/src_file_count,/src_total_lines,/src_sloc,/src_total_lines_of_comments,/src_blank_lines,/test/controller_file_count,/test/controller_total_lines,/test/controller_sloc,/test/controller_total_lines_of_comments,/test/controller_blank_lines,/test/rest_file_count,/test/rest_total_lines,/test/rest_sloc,/test/rest_total_lines_of_comments,/test/rest_blank_lines,typescript_file_count,typescript_total_lines,typescript_sloc,typescript_total_lines_of_comments,typescript_blank_lines,javascript_file_count,javascript_total_lines,javascript_sloc,javascript_total_lines_of_comments,javascript_blank_lines,cc_sum,cc_sum_3folders,term
337,41,179,17,13,0,4,0,207,11,"[116, 54, 18, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1]",2024-01-24,2024-04-04,308419,23781,2545,0,21236,0,1826,1054,535,0,519,0,0,0,0,0,0,2,381,315,17,49,10,2119,1471,432,216,0,0,0,0,0,1,307,223,27,57,0,0,0,0,0,1,71,0,71,0,0,0,0,0,0,14,3425,2009,547,322,2,398,315,17,49,10,2551,1471,432,216,1,334,223,27,57,1,142,0,71,0,12,3027,1694,530,273,2,398,315,17,49,4377,4374,3
338,50,267,36,34,0,2,0,277,3,"[114, 104, 55, 3, 1]",2024-01-24,2024-04-05,288603,4713,4275,0,438,0,1326,219,213,0,6,0,0,0,0,0,0,1,208,178,8,22,21,2161,1828,135,198,0,0,0,0,0,10,1967,1772,34,161,0,0,0,0,0,1,52,15,29,8,0,0,0,0,0,33,4594,3793,206,389,1,216,178,8,22,21,2296,1828,135,198,10,2001,1772,34,161,1,81,15,29,8,32,4378,3615,198,367,1,216,178,8,22,630,624,3
339,40,227,18,16,0,2,0,207,3,"[103, 61, 39, 3, 1]",2024-01-24,2024-04-04,365710,3802,3192,0,610,0,1343,530,481,0,49,0,0,0,0,0,0,1,380,270,58,52,13,1990,1443,384,163,0,0,0,0,0,1,782,494,124,164,0,0,0,0,0,1,372,279,65,28,0,0,0,0,0,16,4155,2486,631,407,1,438,270,58,52,13,2374,1443,384,163,1,906,494,124,164,1,437,279,65,28,15,3717,2216,573,355,1,438,270,58,52,571,568,3
340,48,218,38,23,14,1,0,57,2,"[31, 23, 2, 1]",2024-01-24,2024-04-05,251897,4109,3107,772,230,0,1856,252,242,10,0,0,18,804,695,21,88,0,0,0,0,0,16,2132,1707,211,214,0,0,0,0,0,1,734,537,69,128,0,0,0,0,0,1,156,125,14,17,0,0,0,0,0,36,4141,3064,315,447,18,825,695,21,88,16,2343,1707,211,214,1,803,537,69,128,1,170,125,14,17,36,4141,3064,315,447,0,0,0,0,0,654,650,3
341,51,204,27,25,0,2,0,115,3,"[46, 42, 23, 3, 1]",2024-01-24,2024-04-05,203393,3468,3126,0,342,0,3638,388,375,0,13,0,0,0,0,0,0,1,112,83,13,16,22,2116,1636,281,199,0,0,0,0,0,1,710,442,56,212,0,0,0,0,0,1,252,200,31,21,0,0,0,0,0,25,3571,2361,381,448,1,125,83,13,16,22,2397,1636,281,199,1,766,442,56,212,1,283,200,31,21,24,3446,2278,368,432,1,125,83,13,16,15771,522,3
342,43,1447,31,20,10,1,0,99,4,"[29, 29, 25, 12, 3, 1]",2024-01-24,2024-04-05,163653,4380,3737,413,230,0,1393,442,434,8,0,0,13,434,368,21,45,0,0,0,0,0,13,1945,1479,271,195,0,0,0,0,0,1,391,273,72,46,0,0,0,0,0,1,935,894,31,10,0,0,0,0,0,28,4100,3014,395,296,13,455,368,21,45,13,2216,1479,271,195,1,463,273,72,46,1,966,894,31,10,28,4100,3014,395,296,0,0,0,0,0,359,356,3
343,44,246,22,12,8,2,0,106,4,"[38, 25, 21, 18, 3, 1]",2024-01-24,2024-04-05,337359,3342,2402,704,236,0,1319,217,217,0,0,0,9,724,640,6,78,1,6,6,0,0,7,1231,958,137,136,0,0,0,0,0,1,471,358,17,96,0,0,0,0,0,1,336,285,33,18,0,0,0,0,0,19,2961,2247,193,328,10,736,646,6,78,7,1368,958,137,136,1,488,358,17,96,1,369,285,33,18,18,2955,2241,193,328,1,6,6,0,0,374,371,3
344,45,174,17,15,0,2,0,132,3,"[63, 37, 28, 3, 1]",2024-01-24,2024-04-05,159612,5342,4731,0,611,0,3557,689,676,0,13,0,0,0,0,0,0,1,381,293,32,56,12,2120,1393,386,341,0,0,0,0,0,1,2438,1872,315,251,0,0,0,0,0,1,122,76,31,15,0,0,0,0,0,15,5825,3634,764,663,1,413,293,32,56,12,2506,1393,386,341,1,2753,1872,315,251,1,153,76,31,15,14,5412,3341,732,607,1,413,293,32,56,15772,523,3
345,40,220,32,25,0,7,0,177,4,"[58, 44, 41, 30, 3, 1]",2024-01-24,2024-04-04,248792,3141,2323,0,818,0,1154,246,237,0,9,0,0,0,0,0,0,6,588,532,9,47,22,1800,1471,174,155,0,0,0,0,0,1,422,328,40,54,0,0,0,0,0,1,53,15,29,9,0,0,0,0,0,30,3115,2346,252,265,6,597,532,9,47,22,1974,1471,174,155,1,462,328,40,54,1,82,15,29,9,24,2518,1814,243,218,6,597,532,9,47,524,521,3
346,39,211,19,15,3,1,0,134,4,"[42, 39, 31, 18, 3, 1]",2024-01-24,2024-04-05,237996,2667,2298,139,230,0,1011,268,263,5,0,0,6,160,129,10,21,0,0,0,0,0,7,1210,911,198,101,0,0,0,0,0,1,506,356,23,127,0,0,0,0,0,1,190,144,29,17,0,0,0,0,0,15,2326,1540,260,266,6,170,129,10,21,7,1408,911,198,101,1,529,356,23,127,1,219,144,29,17,15,2326,1540,260,266,0,0,0,0,0,348,342,3
347,45,241,27,25,0,2,0,107,3,"[57, 31, 15, 2, 1, 1]",2024-01-24,2024-04-05,168541,3213,2435,0,778,0,3380,393,387,0,6,0,0,0,0,0,0,1,548,470,6,72,22,1901,1389,361,151,0,0,0,0,0,1,433,324,44,65,0,0,0,0,0,1,53,15,29,9,0,0,0,0,0,25,3375,2198,440,297,1,554,470,6,72,22,2262,1389,361,151,1,477,324,44,65,1,82,15,29,9,24,2821,1728,434,225,1,554,470,6,72,15676,427,3
348,54,168,23,21,0,2,0,142,4,"[83, 25, 22, 8, 3, 1]",2024-01-24,2024-04-05,95655,4170,3642,0,528,0,895,180,174,0,6,0,0,0,0,0,0,1,298,278,6,14,11,1579,1199,114,266,0,0,0,0,0,8,1798,1565,34,199,0,0,0,0,0,1,217,170,27,20,0,0,0,0,0,21,4073,3212,181,499,1,304,278,6,14,11,1693,1199,114,266,8,1832,1565,34,199,1,244,170,27,20,20,3769,2934,175,485,1,304,278,6,14,590,587,3
349,43,159,32,16,0,16,0,89,3,"[46, 29, 11, 2, 1]",2024-01-24,2024-04-05,173420,3239,2480,0,759,0,1359,315,297,0,18,0,0,0,0,0,0,15,529,464,18,47,12,1906,1456,275,175,0,0,0,0,0,1,267,208,20,39,0,0,0,0,0,1,206,158,31,17,0,0,0,0,0,29,3252,2286,344,278,15,547,464,18,47,12,2181,1456,275,175,1,287,208,20,39,1,237,158,31,17,14,2705,1822,326,231,15,547,464,18,47,539,533,3
350,41,186,21,15,3,3,0,113,4,"[42, 30, 26, 11, 3, 1]",2024-01-24,2024-04-04,131607,3274,2902,129,243,0,1408,642,633,2,7,0,3,129,111,4,14,2,13,4,7,2,11,2001,1282,536,183,0,0,0,0,0,1,460,309,85,66,0,0,0,0,0,1,322,254,41,27,0,0,0,0,0,18,3598,1960,673,292,5,153,115,11,16,11,2537,1282,536,183,1,545,309,85,66,1,363,254,41,27,16,3578,1956,666,290,2,20,4,7,2,397,394,3
351,51,4311,38,23,0,15,0,231,3,"[127, 68, 32, 3, 1]",2024-01-24,2024-04-05,238796,4876,3785,0,1091,0,1937,632,562,0,70,0,0,0,0,0,0,13,840,648,96,96,18,2689,1880,432,377,0,0,0,0,0,2,791,411,178,202,0,0,0,0,0,1,160,94,33,33,0,0,0,0,0,34,5219,3033,739,708,13,936,648,96,96,18,3121,1880,432,377,2,969,411,178,202,1,193,94,33,33,21,4283,2385,643,612,13,936,648,96,96,1077,671,3
352,41,158,20,18,0,2,0,50,3,"[19, 17, 10, 3, 1]",2024-01-24,2024-04-05,154199,3956,3242,0,714,0,1493,347,345,0,2,0,0,0,0,0,0,1,484,444,2,38,13,1758,1412,202,144,0,0,0,0,0,1,421,339,27,55,0,0,0,0,0,1,262,188,54,20,0,0,0,0,0,16,3210,2383,285,257,1,486,444,2,38,13,1960,1412,202,144,1,448,339,27,55,1,316,188,54,20,15,2724,1939,283,219,1,486,444,2,38,806,803,3
353,54,255,34,20,0,12,2,140,4,"[48, 46, 28, 14, 3, 1]",2024-01-24,2024-04-05,109557,3986,3103,0,749,134,1324,533,519,0,10,4,0,0,0,0,0,13,653,555,18,80,16,1963,1548,218,197,0,0,0,0,0,1,664,537,51,76,0,0,0,0,0,1,284,0,260,24,0,0,0,0,0,31,4111,2640,547,377,13,671,555,18,80,16,2181,1548,218,197,1,715,537,51,76,1,544,0,260,24,18,3440,2085,529,297,13,671,555,18,80,530,527,3
354,51,180,24,21,0,3,0,138,5,"[70, 19, 17, 15, 13, 3, 1]",2024-01-24,2024-04-05,149656,4120,3412,0,708,0,1041,266,250,0,16,0,0,0,0,0,0,2,478,405,17,56,18,2416,1951,169,296,0,0,0,0,0,1,814,643,42,129,0,0,0,0,0,1,134,65,41,28,0,0,0,0,0,22,4111,3064,269,509,2,495,405,17,56,18,2585,1951,169,296,1,856,643,42,129,1,175,65,41,28,20,3616,2659,252,453,2,495,405,17,56,780,777,3
355,47,215,32,23,0,9,0,107,4,"[37, 34, 19, 14, 2, 1]",2024-01-24,2024-04-02,224495,3141,2578,0,563,0,1589,226,218,0,8,0,0,0,0,0,0,8,333,288,9,36,17,1707,1315,167,225,0,0,0,0,0,3,575,504,4,67,0,0,0,0,0,1,142,117,5,20,0,0,0,0,0,29,2942,2224,185,348,8,342,288,9,36,17,1874,1315,167,225,3,579,504,4,67,1,147,117,5,20,21,2600,1936,176,312,8,342,288,9,36,552,527,3
356,42,162,17,15,0,2,0,92,3,"[46, 24, 18, 3, 1]",2024-01-24,2024-04-05,167707,3515,3006,0,509,0,1490,477,468,0,9,0,0,0,0,0,0,1,279,245,15,19,12,1680,1293,264,123,0,0,0,0,0,1,1087,752,236,99,0,0,0,0,0,1,191,134,43,14,0,0,0,0,0,15,3795,2424,558,255,1,294,245,15,19,12,1944,1293,264,123,1,1323,752,236,99,1,234,134,43,14,14,3501,2179,543,236,1,294,245,15,19,614,611,3
357,51,214,32,18,0,14,0,153,4,"[62, 48, 21, 18, 3, 1]",2024-01-24,2024-04-05,827633,4193,3176,0,1017,0,1196,266,259,0,7,0,0,0,0,0,0,13,787,739,7,41,12,1851,1624,108,119,0,0,0,0,0,2,646,450,128,68,0,0,0,0,0,1,204,185,3,16,0,0,0,0,0,28,3734,2998,246,244,13,794,739,7,41,12,1959,1624,108,119,2,774,450,128,68,1,207,185,3,16,15,2940,2259,239,203,13,794,739,7,41,735,676,3
358,45,265,25,23,0,2,0,203,12,"[47, 40, 40, 37, 23, 5, 3, 2, 1, 1, 1, 1, 1, 1]",2024-01-24,2024-04-04,361295,4863,3790,0,1073,0,2481,913,843,0,70,0,0,0,0,0,0,1,843,662,78,103,18,1822,1315,250,257,0,0,0,0,0,2,1251,601,527,123,0,0,0,0,0,1,272,241,12,19,0,0,0,0,0,22,5055,2819,867,502,1,921,662,78,103,18,2072,1315,250,257,2,1778,601,527,123,1,284,241,12,19,21,4134,2157,789,399,1,921,662,78,103,685,681,3
359,51,223,27,16,0,3,8,165,4,"[62, 41, 35, 23, 3, 1]",2024-01-24,2024-04-05,241993,4142,3193,0,436,513,1729,402,389,0,1,12,0,0,0,0,0,10,719,641,18,60,13,1842,1264,363,215,0,0,0,0,0,1,1096,908,52,136,0,0,0,0,0,1,201,190,0,11,0,0,0,0,0,25,4291,3003,433,422,10,737,641,18,60,13,2205,1264,363,215,1,1148,908,52,136,1,201,190,0,11,15,3554,2362,415,362,10,737,641,18,60,536,533,3
360,42,218,22,15,0,7,0,126,4,"[52, 37, 19, 15, 2, 1]",2024-01-24,2024-03-28,204105,2999,2456,0,543,0,1329,313,294,0,19,0,0,0,0,0,0,6,313,268,24,21,11,1396,1120,175,101,0,0,0,0,0,1,478,379,75,24,0,0,0,0,0,1,244,227,6,11,0,0,0,0,0,19,2711,1994,280,157,6,337,268,24,21,11,1571,1120,175,101,1,553,379,75,24,1,250,227,6,11,13,2374,1726,256,136,6,337,268,24,21,350,347,3
361,48,177,18,16,0,2,0,103,4,"[33, 27, 21, 18, 3, 1]",2024-01-24,2024-04-05,151632,3331,2822,0,509,0,1487,440,440,0,0,0,0,0,0,0,0,1,279,246,0,33,12,1914,1348,305,261,0,0,0,0,0,2,647,369,163,115,0,0,0,0,0,1,194,156,22,16,0,0,0,0,0,16,3524,2119,490,425,1,279,246,0,33,12,2219,1348,305,261,2,810,369,163,115,1,216,156,22,16,15,3245,1873,490,392,1,279,246,0,33,458,453,3
362,44,196,38,25,0,13,0,175,3,"[95, 74, 3, 2, 1]",2024-01-24,2024-04-03,130373,4651,3898,0,753,0,1244,510,502,0,8,0,0,0,0,0,0,12,523,444,9,70,19,2750,2013,460,277,0,0,0,0,0,4,1029,784,54,191,0,0,0,0,0,1,53,15,29,9,0,0,0,0,0,36,4907,3256,552,547,12,532,444,9,70,19,3210,2013,460,277,4,1083,784,54,191,1,82,15,29,9,24,4375,2812,543,477,12,532,444,9,70,627,620,3
363,72,399,44,43,0,1,0,130,4,"[40, 39, 27, 20, 3, 1]",2024-01-24,2024-04-05,298410,4370,4140,0,230,0,3944,245,245,0,0,0,22,834,673,27,134,0,0,0,0,0,11,1557,1217,132,208,0,0,0,0,0,8,1383,1072,82,229,0,0,0,0,0,1,318,262,1,55,0,0,0,0,0,42,4334,3224,242,626,22,861,673,27,134,11,1689,1217,132,208,8,1465,1072,82,229,1,319,262,1,55,42,4334,3224,242,626,0,0,0,0,0,16250,604,3
364,59,6197,43,28,14,1,0,85,4,"[27, 25, 18, 12, 2, 1]",2024-01-24,2024-04-05,246718,4790,3747,813,230,0,1693,289,215,74,0,0,17,834,633,107,94,0,0,0,0,0,21,2005,1563,206,236,0,0,0,0,0,1,770,669,13,88,0,0,0,0,0,1,548,491,31,26,0,0,0,0,0,40,4514,3356,357,444,17,941,633,107,94,21,2211,1563,206,236,1,783,669,13,88,1,579,491,31,26,40,4514,3356,357,444,0,0,0,0,0,919,718,3
365,54,245,47,34,10,3,0,101,4,"[31, 24, 23, 19, 3, 1]",2024-01-24,2024-04-04,355256,4300,3563,497,240,0,2093,166,163,2,1,0,14,717,655,11,51,2,10,8,1,1,27,2270,1855,130,285,0,0,0,0,0,1,618,499,9,110,0,0,0,0,0,1,407,365,8,34,0,0,0,0,0,45,4181,3382,159,481,16,739,663,12,52,27,2400,1855,130,285,1,627,499,9,110,1,415,365,8,34,43,4170,3374,158,480,2,11,8,1,1,646,643,3
366,71,438,35,20,0,2,13,167,3,"[123, 28, 12, 3, 1]",2024-01-24,2024-04-05,1777245,4866,3703,0,240,923,4275,302,272,0,1,29,0,0,0,0,0,14,933,776,55,102,17,2613,2071,207,335,0,0,0,0,0,1,695,556,32,107,0,0,0,0,0,1,345,283,37,25,0,0,0,0,0,33,4917,3686,331,569,14,988,776,55,102,17,2820,2071,207,335,1,727,556,32,107,1,382,283,37,25,19,3929,2910,276,467,14,988,776,55,102,16344,897,3
367,47,266,24,16,0,8,0,172,4,"[87, 68, 12, 3, 1, 1]",2024-01-24,2024-04-05,494962,2987,2497,0,490,0,1300,313,304,0,9,0,0,0,0,0,0,7,260,220,14,26,12,1438,1040,232,166,0,0,0,0,0,1,493,380,37,76,0,0,0,0,0,1,342,268,47,27,0,0,0,0,0,21,2863,1908,330,295,7,274,220,14,26,12,1670,1040,232,166,1,530,380,37,76,1,389,268,47,27,14,2589,1688,316,269,7,274,220,14,26,529,526,3
368,42,194,24,20,0,4,0,115,5,"[49, 26, 15, 13, 9, 2, 1]",2024-01-24,2024-04-05,253568,3218,2936,0,282,0,1091,144,143,0,1,0,0,0,0,0,0,3,52,44,1,7,17,1909,1622,132,155,0,0,0,0,0,1,748,677,0,71,0,0,0,0,0,1,231,208,6,17,0,0,0,0,0,22,3079,2551,139,250,3,53,44,1,7,17,2041,1622,132,155,1,748,677,0,71,1,237,208,6,17,19,3026,2507,138,243,3,53,44,1,7,556,553,3
369,51,167,29,19,9,1,0,76,3,"[32, 23, 18, 2, 1]",2024-01-24,2024-04-05,205120,2994,2421,343,230,0,1051,298,295,3,0,0,17,639,512,39,88,0,0,0,0,0,7,1225,846,199,180,0,0,0,0,0,1,504,372,24,108,0,0,0,0,0,1,53,15,29,9,0,0,0,0,0,26,2712,1745,291,385,17,678,512,39,88,7,1424,846,199,180,1,528,372,24,108,1,82,15,29,9,26,2712,1745,291,385,0,0,0,0,0,442,439,3
370,47,264,35,21,0,14,0,251,4,"[195, 22, 17, 14, 2, 1]",2024-01-24,2024-04-05,181504,4108,3337,0,771,0,1616,581,574,0,7,0,0,0,0,0,0,13,541,491,12,38,14,1580,973,481,126,0,0,0,0,0,4,1386,1145,67,174,0,0,0,0,0,1,53,15,29,9,0,0,0,0,0,32,4149,2624,589,347,13,553,491,12,38,14,2061,973,481,126,4,1453,1145,67,174,1,82,15,29,9,19,3596,2133,577,309,13,553,491,12,38,636,633,3
371,44,172,24,16,0,7,1,110,3,"[43, 43, 20, 3, 1]",2024-01-24,2024-04-04,234652,3290,2688,0,557,45,1828,192,185,0,7,0,0,0,0,0,0,1,5,4,0,1,13,2043,1620,137,286,0,0,0,0,0,1,510,385,14,111,0,0,0,0,0,1,85,44,32,9,0,0,0,0,0,16,2826,2053,183,407,1,5,4,0,1,13,2180,1620,137,286,1,524,385,14,111,1,117,44,32,9,15,2821,2049,183,406,1,5,4,0,1,389,386,3
372,46,295,25,20,0,5,0,275,4,"[84, 71, 68, 48, 3, 1]",2024-01-24,2024-04-04,191900,4632,3269,0,1363,0,1504,483,392,0,91,0,0,0,0,0,0,4,1133,864,124,145,16,2267,1849,208,210,0,0,0,0,0,1,601,488,36,77,0,0,0,0,0,1,210,56,145,9,0,0,0,0,0,22,4724,3257,513,441,4,1257,864,124,145,16,2475,1849,208,210,1,637,488,36,77,1,355,56,145,9,18,3467,2393,389,296,4,1257,864,124,145,690,687,3
373,47,323,36,23,12,1,0,186,6,"[49, 44, 30, 30, 20, 10, 2, 1]",2024-01-24,2024-04-04,301822,4766,3695,841,230,0,1799,430,402,28,0,0,15,862,722,43,97,0,0,0,0,0,14,2588,1906,312,370,0,0,0,0,0,1,530,430,22,78,0,0,0,0,0,1,264,220,21,23,0,0,0,0,0,31,4642,3278,398,568,15,905,722,43,97,14,2900,1906,312,370,1,552,430,22,78,1,285,220,21,23,31,4642,3278,398,568,0,0,0,0,0,907,876,3
374,44,274,30,17,0,13,0,321,2,"[170, 145, 3, 3]",2024-01-06,2024-04-05,315615,4155,3068,0,1087,0,2406,966,936,0,30,0,0,0,0,0,0,12,857,649,34,174,14,2150,1601,219,330,0,0,0,0,0,1,747,51,685,11,0,0,0,0,0,1,105,64,32,9,0,0,0,0,0,28,4829,2365,970,524,12,891,649,34,174,14,2369,1601,219,330,1,1432,51,685,11,1,137,64,32,9,16,3938,1716,936,350,12,891,649,34,174,437,433,3
375,43,156,18,16,0,2,0,93,10,"[46, 15, 12, 6, 3, 3, 2, 2, 1, 1, 1, 1]",2024-01-24,2024-04-04,164411,3268,2820,0,448,0,1096,218,218,0,0,0,0,0,0,0,0,1,218,189,0,29,12,1768,1271,190,307,0,0,0,0,0,1,514,425,13,76,0,0,0,0,0,1,145,116,0,29,0,0,0,0,0,15,2848,2001,203,441,1,218,189,0,29,12,1958,1271,190,307,1,527,425,13,76,1,145,116,0,29,14,2630,1812,203,412,1,218,189,0,29,373,370,3
376,42,311,35,22,12,1,0,117,4,"[76, 29, 8, 2, 1, 1]",2024-01-24,2024-04-04,945550,3319,2380,709,230,0,1564,223,206,17,0,0,15,730,598,23,109,0,0,0,0,0,16,1801,1494,148,159,0,0,0,0,0,1,418,297,33,88,0,0,0,0,0,1,92,69,13,10,0,0,0,0,0,33,3258,2458,217,366,15,753,598,23,109,16,1949,1494,148,159,1,451,297,33,88,1,105,69,13,10,33,3258,2458,217,366,0,0,0,0,0,492,489,3
377,45,151,26,15,5,6,0,69,6,"[34, 27, 2, 2, 1, 1, 1, 1]",2024-01-24,2024-04-05,161826,4306,3577,388,341,0,2031,1098,1089,2,7,0,5,388,330,2,56,5,111,93,7,11,11,1688,1201,205,282,0,0,0,0,0,1,1457,257,869,331,0,0,0,0,0,1,264,236,1,27,0,0,0,0,0,23,4992,2117,1084,707,10,508,423,9,67,11,1893,1201,205,282,1,2326,257,869,331,1,265,236,1,27,18,4874,2024,1077,696,5,118,93,7,11,539,536,3
378,139,6272,41,21,17,3,0,227,6,"[74, 70, 38, 22, 12, 8, 2, 1]",2024-01-24,2024-04-05,300047,4869,3574,1047,248,0,2073,579,439,139,1,0,19,1055,798,153,104,2,18,15,2,1,15,2270,1594,444,232,0,0,0,0,0,2,896,665,136,95,0,0,0,0,0,1,347,289,31,27,0,0,0,0,0,39,5352,3361,766,459,21,1228,813,155,105,15,2714,1594,444,232,2,1032,665,136,95,1,378,289,31,27,37,5332,3346,764,458,2,20,15,2,1,559,556,3
379,44,162,19,17,0,2,0,75,4,"[41, 19, 9, 3, 2, 1]",2024-01-24,2024-04-05,99520,4109,3356,0,753,0,1919,1184,1175,0,9,0,0,0,0,0,0,1,523,443,10,70,13,2176,1031,969,176,0,0,0,0,0,1,829,280,396,153,0,0,0,0,0,1,303,272,3,28,0,0,0,0,0,16,5209,2026,1378,427,1,533,443,10,70,13,3145,1031,969,176,1,1225,280,396,153,1,306,272,3,28,15,4676,1583,1368,357,1,533,443,10,70,469,466,3
380,50,254,28,20,7,1,0,107,3,"[64, 22, 17, 3, 1]",2024-01-24,2024-04-04,326773,3238,2311,697,230,0,27757,169,165,4,0,0,11,730,664,9,57,0,0,0,0,0,13,1565,1343,121,101,0,0,0,0,0,1,367,347,6,14,0,0,0,0,0,1,261,233,8,20,0,0,0,0,0,26,3067,2587,144,192,11,739,664,9,57,13,1686,1343,121,101,1,373,347,6,14,1,269,233,8,20,26,3067,2587,144,192,0,0,0,0,0,602,599,3
381,42,166,20,18,0,2,0,62,2,"[30, 28, 3, 1]",2024-01-24,2024-04-04,144379,3832,3002,0,830,0,1159,292,270,0,22,0,0,0,0,0,0,1,600,494,48,58,15,2360,1896,219,245,0,0,0,0,0,1,419,348,13,58,0,0,0,0,0,1,175,94,66,15,0,0,0,0,0,18,3900,2832,346,376,1,648,494,48,58,15,2579,1896,219,245,1,432,348,13,58,1,241,94,66,15,17,3252,2338,298,318,1,648,494,48,58,571,568,3
382,47,243,37,36,0,1,0,275,5,"[112, 101, 33, 25, 2, 1, 1]",2024-01-24,2024-04-05,284680,5461,5231,0,230,0,1973,766,766,0,0,0,11,379,322,10,47,0,0,0,0,0,20,1911,1363,345,203,0,0,0,0,0,2,2486,1821,343,322,0,0,0,0,0,1,52,15,29,8,0,0,0,0,0,34,5555,3521,727,580,11,389,322,10,47,20,2256,1363,345,203,2,2829,1821,343,322,1,81,15,29,8,34,5555,3521,727,580,0,0,0,0,0,620,617,3
383,39,195,15,13,0,2,0,68,6,"[24, 20, 10, 5, 4, 3, 1, 1]",2024-01-24,2024-04-05,316967,2719,2125,0,594,0,1340,325,302,0,23,0,0,0,0,0,0,1,364,276,24,64,9,1625,1175,237,213,0,0,0,0,0,1,264,243,6,15,0,0,0,0,0,1,109,62,35,12,0,0,0,0,0,12,2664,1756,302,304,1,388,276,24,64,9,1862,1175,237,213,1,270,243,6,15,1,144,62,35,12,11,2276,1480,278,240,1,388,276,24,64,342,335,3
384,42,157,25,19,0,4,2,137,4,"[74, 23, 22, 15, 2, 1]",2024-01-24,2024-04-05,201296,4135,3392,0,254,489,1116,355,333,0,2,20,0,0,0,0,0,5,513,382,54,77,16,2460,1747,311,402,0,0,0,0,0,1,471,360,4,107,0,0,0,0,0,1,411,315,7,89,0,0,0,0,0,23,4231,2804,376,675,5,567,382,54,77,16,2771,1747,311,402,1,475,360,4,107,1,418,315,7,89,18,3664,2422,322,598,5,567,382,54,77,430,427,3
385,42,157,18,16,0,2,0,271,5,"[148, 52, 28, 24, 15, 3, 1]",2024-01-24,2024-04-05,214218,4256,3433,0,823,0,1746,459,417,0,42,0,0,0,0,0,0,1,593,473,57,63,12,1789,1368,246,175,0,0,0,0,0,1,696,477,88,131,0,0,0,0,0,1,670,552,66,52,0,0,0,0,0,15,4205,2870,457,421,1,650,473,57,63,12,2035,1368,246,175,1,784,477,88,131,1,736,552,66,52,14,3555,2397,400,358,1,650,473,57,63,609,606,3
386,56,282,42,34,0,7,1,113,4,"[55, 22, 18, 14, 3, 1]",2024-01-24,2024-04-05,241690,10745,6127,0,4553,65,1859,523,463,0,44,16,0,0,0,0,0,7,4388,4243,68,77,22,2531,2039,270,222,0,0,0,0,0,10,3190,2890,23,277,0,0,0,0,0,1,340,151,169,20,0,0,0,0,0,40,10979,9323,530,596,7,4456,4243,68,77,22,2801,2039,270,222,10,3213,2890,23,277,1,509,151,169,20,33,6523,5080,462,519,7,4456,4243,68,77,1036,1032,3
387,44,151,22,18,2,2,0,89,4,"[32, 24, 19, 11, 2, 1]",2024-01-24,2024-04-05,120943,2656,2029,391,236,0,1150,286,286,0,0,0,3,411,379,10,22,1,6,6,0,0,14,1410,1120,198,92,0,0,0,0,0,1,368,267,70,31,0,0,0,0,0,1,183,151,24,8,0,0,0,0,0,20,2680,1923,302,153,4,427,385,10,22,14,1608,1120,198,92,1,438,267,70,31,1,207,151,24,8,19,2674,1917,302,153,1,6,6,0,0,474,471,3
